7,7,1,7,7,5
7,7,1,7,8,6
6,5,2,8,7,3
4,5,1,7,6,5
6,5,1,6,6,5
5,5,1,6,6,5
7,6,2,8,7,4
8,7.5,3,9,8,7.5
8,6,0,5.5,8,8
6,6,1,7,7,6
7,6.5,0,6.5,8,7
6,5,0,5,6.5,4.5
6,6,1,5.5,6.5,5.5
6,6,1,5.5,6.5,5.5
6.5,6,1,6,7,6
5.5,5,1,6.5,6,4
8,7,1,8,7.5,8
4.5,5.5,2,5.5,6,5.5
7,6,1,6,7,6.5
7.5,7,1,7,7,7
8,7.5,1,7.5,7.5,8.5
7,7,1,6.5,7,5.5
6.5,7,0,8,7,7
6.5,6,1,6.5,7,3
6.5,6,1,6.5,7,3
6.5,6,1,6.5,7,3
5.5,6,0,6.5,6,5
7,7,0,7,7.5,7.5
5.5,4,0,6,6,5
6.5,6.5,2,7,7,6.5
6,6,1,6.5,6.5,4.5
7.5,7.5,3,7.5,7.5,8
7,5,1,6,6.5,4.5
